,id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,room_number,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,mètres carrés,commune
6260,9036174,apartment,apartment,745000,for sale,1200,xl,installed,2020.0,to be done up,gas,3.0,False,True,False,2.0,2.0,2938005,james realty,220,Woluwe-Saint-Lambert
6261,9027786,apartment group,apartment group,91500 - 288500,for sale,8792,xl,No infos,2020.0,to be done up,gas,3.0,False,False,False,,,3666232,de spriete,46,Desselgem
6262,9027563,apartment group,apartment group,245000 - 250000,for sale,9300,xl,No infos,2020.0,to be done up,gas,3.0,False,False,False,,,2202,urbis gent,105,Alost
6263,9041603,apartment,apartment,360000,for sale,2018,xl,hyper equipped,2020.0,as new,gas,2.0,False,False,False,,,1896615,estategroup,83,Anvers
6264,9020747,apartment,apartment,435000,for sale,8670,xl,No infos,2020.0,as new,gas,2.0,False,False,False,,,956121,rietveld projects,95,Oostduinkerke
6265,9028057,apartment,penthouse,1200000,for sale,2000,xl,No infos,2020.0,as new,gas,3.0,False,False,False,,,3055336,antwerp sotheby&#039;s international realty,155,Anvers
6266,8983780,apartment,apartment,234000,for sale,3270,xl,installed,2022.0,good,gas,2.0,False,True,False,1.0,,2019,structura,84,Montaigu
6267,9027797,apartment group,apartment group,305000 - 950000,for sale,8800,xl,No infos,2019.0,good,gas,2.0,False,False,False,,,3666195,warelles,79,Rumbeke
6268,8119409,apartment,apartment,234800,for sale,2275,xl,No infos,2019.0,as new,gas,2.0,False,False,False,,,409894,heylen vastgoed herentals,91,Poederlee
6269,8983773,apartment,apartment,249000,for sale,3270,xl,installed,2022.0,as new,gas,2.0,False,True,False,1.0,,2019,structura,93,Montaigu
6270,8983779,apartment,apartment,253000,for sale,3270,xl,installed,2022.0,as new,gas,2.0,False,True,False,1.0,,2019,structura,87,Montaigu
6271,8983775,apartment,apartment,239000,for sale,3270,xl,installed,2022.0,as new,gas,2.0,False,True,False,1.0,,2019,structura,89,Montaigu
6272,8913814,apartment,apartment,239000,for sale,9700,xl,installed,2020.0,as new,gas,2.0,False,False,False,,1.0,3312147,kuub-experten,89,Oudenaarde
6273,8825239,apartment,apartment,245000,for sale,4845,xl,No infos,2022.0,as new,gas,2.0,False,False,False,,,3467321,dlg immo,2,Sart-lez-Spa
6274,8983781,apartment,apartment,254000,for sale,3270,xl,installed,2022.0,good,gas,2.0,False,True,False,1.0,,2019,structura,95,Montaigu
